dataset,split,doc_id,file_name,document_type,url,annotation_set_id,label_id,label_short_description,hypothesis,gold_label_raw,gold_label,evidence_count,evidence_total_chars
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-11,No reverse engineering,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,not_mentioned,0,0
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-16,Return of confidential information,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,Entailment,entailment,2,326
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-15,No licensing,Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,entailment,1,186
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-10,Confidentiality of Agreement,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,Entailment,entailment,1,353
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-2,None-inclusion of non-technical information,Confidential Information shall only include technical information.,NotMentioned,not_mentioned,0,0
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-1,Explicit identification,All Confidential Information shall be expressly identified by the Disclosing Party.,Entailment,entailment,1,389
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-19,Survival of obligations,Some obligations of Agreement may survive termination of Agreement.,Entailment,entailment,1,342
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-12,Permissible development of similar information,Receiving Party may independently develop information similar to Confidential Information.,Entailment,entailment,2,191
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-20,Permissible post-agreement possession,Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,NotMentioned,not_mentioned,0,0
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-3,Inclusion of verbally conveyed information,Confidential Information may include verbally conveyed information.,Entailment,entailment,1,389
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-18,No solicitation,Receiving Party shall not solicit some of Disclosing Party's representatives.,NotMentioned,not_mentioned,0,0
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-7,Sharing with third-parties,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Entailment,entailment,2,680
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-17,Permissible copy,Receiving Party may create a copy of some Confidential Information in some circumstances.,Entailment,entailment,1,287
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-8,Notice on compelled disclosure,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",Entailment,entailment,1,460
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-13,Permissible acquirement of similar information,Receiving Party may acquire information similar to Confidential Information from a third party.,Entailment,entailment,2,290
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-5,Sharing with employees,Receiving Party may share some Confidential Information with some of Receiving Party's employees.,Entailment,entailment,3,763
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,0,nda-4,Limited use,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,Entailment,entailment,1,103
contractnli,train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,search-pdf,http://www.copernicus-masters.com/wp-content/uploads/2017/07/CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,0,nda-11,No reverse engineering,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,not_mentioned,0,0
contractnli,train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,search-pdf,http://www.copernicus-masters.com/wp-content/uploads/2017/07/CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,0,nda-16,Return of confidential information,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,NotMentioned,not_mentioned,0,0
contractnli,train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,search-pdf,http://www.copernicus-masters.com/wp-content/uploads/2017/07/CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,0,nda-15,No licensing,Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,entailment,1,502
contractnli,train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,search-pdf,http://www.copernicus-masters.com/wp-content/uploads/2017/07/CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,0,nda-10,Confidentiality of Agreement,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,NotMentioned,not_mentioned,0,0
