column,non_empty_count,empty_count,non_empty_share,example_values
Affiliate License-Licensee-Answer,510,0,1.0,"['No', 'No', 'Yes']"
Affiliate License-Licensor-Answer,510,0,1.0,"['No', 'No', 'No']"
Anti-Assignment-Answer,510,0,1.0,"['Yes', 'Yes', 'No']"
Audit Rights-Answer,510,0,1.0,"['Yes', 'Yes', 'Yes']"
Cap On Liability-Answer,510,0,1.0,"['Yes', 'Yes', 'No']"
Change Of Control-Answer,510,0,1.0,"['No', 'No', 'No']"
Competitive Restriction Exception-Answer,510,0,1.0,"['No', 'No', 'No']"
Covenant Not To Sue-Answer,510,0,1.0,"['No', 'No', 'No']"
Document Name,510,0,1.0,"[""['MARKETING AFFILIATE AGREEMENT']"", ""['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT']"", ""['CONTENT DISTRIBUTION AND LICENSE AGREEMENT']""]"
Document Name-Answer,510,0,1.0,"['MARKETING AFFILIATE AGREEMENT', 'VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT', 'CONTENT DISTRIBUTION AND LICENSE AGREEMENT']"
Exclusivity-Answer,510,0,1.0,"['No', 'No', 'Yes']"
Filename,510,0,1.0,"['CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf', 'EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf', 'FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf']"
Insurance-Answer,510,0,1.0,"['No', 'No', 'No']"
Ip Ownership Assignment-Answer,510,0,1.0,"['No', 'No', 'No']"
Irrevocable Or Perpetual License-Answer,510,0,1.0,"['No', 'No', 'No']"
Joint Ip Ownership-Answer,510,0,1.0,"['No', 'No', 'No']"
License Grant-Answer,510,0,1.0,"['Yes', 'Yes', 'Yes']"
Liquidated Damages-Answer,510,0,1.0,"['No', 'No', 'No']"
Minimum Commitment-Answer,510,0,1.0,"['Yes', 'Yes', 'No']"
Most Favored Nation-Answer,510,0,1.0,"['No', 'Yes', 'No']"
No-Solicit Of Customers-Answer,510,0,1.0,"['No', 'No', 'No']"
No-Solicit Of Employees-Answer,510,0,1.0,"['No', 'No', 'No']"
Non-Compete-Answer,510,0,1.0,"['No', 'No', 'No']"
Non-Disparagement-Answer,510,0,1.0,"['Yes', 'No', 'No']"
Non-Transferable License-Answer,510,0,1.0,"['No', 'No', 'No']"
Post-Termination Services-Answer,510,0,1.0,"['No', 'No', 'No']"
Price Restrictions-Answer,510,0,1.0,"['No', 'No', 'No']"
Revenue/Profit Sharing-Answer,510,0,1.0,"['No', 'Yes', 'Yes']"
Rofr/Rofo/Rofn-Answer,510,0,1.0,"['No', 'No', 'No']"
Source Code Escrow-Answer,510,0,1.0,"['No', 'No', 'No']"
Termination For Convenience-Answer,510,0,1.0,"['No', 'Yes', 'No']"
Third Party Beneficiary-Answer,510,0,1.0,"['No', 'No', 'No']"
Uncapped Liability-Answer,510,0,1.0,"['No', 'Yes', 'No']"
Unlimited/All-You-Can-Eat-License-Answer,510,0,1.0,"['No', 'Yes', 'Yes']"
Volume Restriction-Answer,510,0,1.0,"['No', 'No', 'No']"
Warranty Duration-Answer,510,0,1.0,"['Yes', 'No', 'No']"
